Harness,Agent,SIGLIP-2,DINOv2,DINOv3,Chamfer,UNI3D,UNI3D I-3D,Betti Norm. L1
Single-view,Fable 5,0.913,0.731,0.784,0.012,0.733,0.34,0.815
Single-view,Opus 5,0.91,0.704,0.764,0.015,0.725,0.34,0.83
Single-view,GPT-5.6 Sol,0.915,0.714,0.783,0.016,0.715,0.332,1.0
Single-view,Kimi K3,0.896,0.664,0.734,0.02,0.678,0.332,0.893
Single-view,Qwen 3.8 Max,0.913,0.731,0.777,0.017,0.74,0.346,0.835
Single-view,Gemini 3.1 Pro,0.904,0.692,0.756,0.016,0.728,0.335,0.776
Single-view,MiniMax M3,0.833,0.49,0.576,0.028,0.495,0.263,0.921
Multi-view,Fable 5,0.927,0.76,0.811,0.011,0.764,0.345,0.805
Multi-view,Opus 5,0.921,0.738,0.796,0.011,0.748,0.343,0.931
Multi-view,GPT-5.6 Sol,0.925,0.764,0.816,0.015,0.745,0.326,1.0
Multi-view,Kimi K3,0.909,0.702,0.765,0.014,0.713,0.338,0.925
Multi-view,Qwen 3.8 Max,0.92,0.753,0.805,0.011,0.768,0.344,0.768
Multi-view,Gemini 3.1 Pro,0.908,0.7,0.774,0.015,0.753,0.331,0.736
Multi-view,MiniMax M3,0.847,0.522,0.617,0.022,0.577,0.299,0.983
Active Visual,Fable 5,0.932,0.767,0.822,0.006,0.832,0.349,0.663
Active Visual,Opus 5,0.939,0.796,0.843,0.004,0.871,0.347,0.611
Active Visual,GPT-5.6 Sol,0.931,0.76,0.817,0.007,0.823,0.342,0.864
Active Visual,Kimi K3,0.925,0.74,0.802,0.005,0.819,0.336,0.685
Active Visual,Qwen 3.8 Max,0.919,0.729,0.789,0.006,0.809,0.331,0.711
Active Visual,Gemini 3.1 Pro,0.865,0.6,0.674,0.015,0.691,0.315,0.853
Active Visual,MiniMax M3,0.808,0.447,0.527,0.034,0.482,0.25,0.974
Full 3D Interaction,Fable 5,0.949,0.818,0.859,0.003,0.884,0.345,0.557
Full 3D Interaction,Opus 5,0.957,0.842,0.883,0.002,0.927,0.347,0.473
Full 3D Interaction,GPT-5.6 Sol,0.939,0.788,0.841,0.003,0.879,0.342,0.677
Full 3D Interaction,Kimi K3,0.929,0.747,0.809,0.004,0.848,0.339,0.749
Full 3D Interaction,Qwen 3.8 Max,0.934,0.763,0.822,0.004,0.857,0.339,0.75
Full 3D Interaction,Gemini 3.1 Pro,0.901,0.694,0.759,0.008,0.783,0.322,0.588
Full 3D Interaction,MiniMax M3,0.857,0.578,0.651,0.014,0.679,0.302,0.821
